08:19:10.458 [main] INFO  testCases.TC_001_AccountRegistrationtTest - Strating TC_001_AccountRegistrationtTest
08:19:10.568 [main] INFO  testCases.TC_001_AccountRegistrationtTest - Clicked on My Account 
08:19:11.026 [main] INFO  testCases.TC_001_AccountRegistrationtTest - Clicked on Register 
08:19:11.109 [main] INFO  testCases.TC_001_AccountRegistrationtTest - Provided First Name 
08:19:11.184 [main] INFO  testCases.TC_001_AccountRegistrationtTest - Provided Last Name 
08:19:11.284 [main] INFO  testCases.TC_001_AccountRegistrationtTest - Provided Email 
08:19:11.377 [main] INFO  testCases.TC_001_AccountRegistrationtTest - Provided Password 
08:19:16.443 [main] INFO  testCases.TC_001_AccountRegistrationtTest - Set Privacy Policy 
08:19:16.511 [main] INFO  testCases.TC_001_AccountRegistrationtTest - Clicked on Continue 
08:19:17.430 [main] INFO  testCases.TC_001_AccountRegistrationtTest - Finished TC_001_AccountRegistrationtTest
08:19:19.372 [main] INFO  testCases.TC_002_LoginTest - Starting TC_002_LoginTest
08:19:25.222 [main] INFO  testCases.TC_002_LoginTest -  Finished TC_002_LoginTest
08:19:28.868 [main] INFO  testCases.TC_003_LoginDataDrivenTest -  Starting TC_003_LoginDataDrivenTest 
08:19:30.743 [main] INFO  testCases.TC_003_LoginDataDrivenTest -  Finished TC_003_LoginDataDrivenTest
08:19:30.745 [main] INFO  testCases.TC_003_LoginDataDrivenTest -  Starting TC_003_LoginDataDrivenTest 
08:19:41.425 [main] INFO  testCases.TC_003_LoginDataDrivenTest -  Finished TC_003_LoginDataDrivenTest
08:19:41.425 [main] INFO  testCases.TC_003_LoginDataDrivenTest -  Starting TC_003_LoginDataDrivenTest 
08:19:52.158 [main] INFO  testCases.TC_003_LoginDataDrivenTest -  Finished TC_003_LoginDataDrivenTest
08:19:52.174 [main] INFO  testCases.TC_003_LoginDataDrivenTest -  Starting TC_003_LoginDataDrivenTest 
08:20:03.124 [main] INFO  testCases.TC_003_LoginDataDrivenTest -  Finished TC_003_LoginDataDrivenTest
08:20:03.126 [main] INFO  testCases.TC_003_LoginDataDrivenTest -  Starting TC_003_LoginDataDrivenTest 
08:20:05.463 [main] INFO  testCases.TC_003_LoginDataDrivenTest -  Finished TC_003_LoginDataDrivenTest
